Token,Length,Frequency
a,1,83
an,2,82
agus,4,74
chun,4,42
uile,4,32
ar,2,31
gach,4,30
ag,2,30
go,2,28
i,1,27
dhuine,6,26
Airteagal,9,26
na,2,24
ceart,5,22
Tá,2,22
nó,2,19
do,2,18
duine,5,16
is,2,14
aon,3,14
le,2,14
saoirse,7,12
sin,3,12
ná,2,12
ina,3,10
Ní,2,10
in,2,9
don,3,9
déanfar,7,8
eile,4,8
aige,4,8
gan,3,8
féin,4,7
de,2,7
é,1,7
dlí,3,7
bith,4,7
atá,3,6
maidir,6,6
oideachas,9,6
den,3,6
ó,1,6
sa,2,6
mar,3,5
lena,4,5
cearta,6,5
acu,3,5
chearta,7,5
seo,3,5
náisiúnta,9,5
faoi,4,5
De,2,5
Bhrí,4,5
leis,4,5
daoine,6,4
críoch,6,4
chomhdhaonnacht,15,4
bhfuil,6,4
dá,2,4
trí,3,4
mbeidh,6,4
náisiúntacht,12,4
saoirsí,7,4
ní,2,4
réir,4,4
Stát,4,4
Is,2,4
bheith,6,4
as,2,4
eadarnáisiúnta,14,4
tríd,4,3
tá,2,3
pobal,5,3
cóir,4,3
gur,3,3
pósadh,6,3
slándála,8,3
bunaidh,7,3
thabhairt,9,3
leith,5,3
idirdhealú,10,3
air,3,3
gá,2,3
linn,4,3
d'fháil,7,3
thír,4,3
oibre,5,3
urraim,6,3
phoiblí,7,3
chéile,6,3
d'athrú,7,3
bunúsacha,9,3
Aontaithe,9,3
mhaireachtana,13,3
sé,2,3
réim,4,3
dhóibh,6,3
pé,2,3
gabháil,7,3
t,1,3
no,2,3
háirithe,8,3
choiteann,9,3
gcoinne,7,3
gníomhartha,11,3
gcearta,7,3
leithcheal,10,3
tír,3,2
cheart,6,2
cine,4,2
Bhéarfar,8,2
teagasc,7,2
iad,3,2
bhaint,6,2
fáil,4,2
gurb,4,2
comhionanna,11,2
chine,5,2
aghaidh,7,2
ndínit,6,2
bhéarfas,8,2
chuing,6,2
teaghlach,9,2
shóisialach,11,2
comhionann,10,2
ionad,5,2
aithint,7,2
lorg,4,2
phósta,6,2
n,1,2
chríoch,7,2
toil,4,2
forlámhach,10,2
gcúrsaí,7,2
daonna,6,2
bhunú,5,2
neamhspleách,12,2
Dlítear,7,2
príobháideach,13,2
chreideamh,10,2
áirítear,8,2
creideamh,9,2
coimirce,8,2
foras,5,2
nach,4,2
dheimhne,8,2
gceart,6,2
mhoghsaine,10,2
